Produkt;Kalorie;Bialko;Tluszcz;Weglowodany;Cukier;Blonnik
Mleko spożywcze. 3,5% tłuszczu;64;3,3;3,5;4,8;0,2;0
Mleko spożywcze , 3,2% tłuszczu;61;3,3;3,2;4,8;0,2;0
Mleko spożywcze, 2% tłuszczu;51;3,4;2;4,9;0,2;0
Mleko spożywcze, 1,5% tłuszczu;47;3,4;1,5;5;0,2;0
Mleko spożywcze . 0,5% tłuszczu;39;3,5;0,5;5, 1;0,2;0
Mleko UHT, 3,2% tluszczu;61;3,3;3,2;4,8;0,2;0
Mleko UHT, 1,5% tłuszczu;47;3,4;1,5;5;0,2;0
Mleko UHT, 0,5% tłuszczu;39;3,5;0,5;5,1;0,2;0
Mleko kozie;68;3,2;4,1;4,5;0;0
Mleko owcze;107;6;7;5, 1;0;0
Mleko odtłuszczone, w proszku;360;35,7;0,8;51,2;0;0
Mleko pełne, w proszku;479;27;24;38,7;0;0
Mleko zagęszczone,niesłodzone;131;6,6;7,5;9,4;0;0
Mleko zagęszczone , slodzone;326;7,5;8;55,3;45;0
Śmietanka kremowa, 30% tluszczu;287;2,2;30;3,1;0;0
Śmietana, 18% tłuszczu;184;2,5;18;3,6;0;0
Śmietana, 12% tłuszczu;133;2,7;12;3,9;0;0
Śmietanka do kawy, 9% tłuszczu;107;2,8;9;4;0;0
Jogurt naturalny, 2% tluszczu;60;4,3;2;6,2;1;0
Jogurt bananowy, 1,5% tluszczu;70;3,7;1,5;10,4;3,6;0,2
Jogurt jagodowy, 1,5% tluszczu ;63;3,7;1,5;8,8;2,2;0,4
Jogurt morelowy, 1,5% tłuszczu;64;3,7;1,5;8,9;2,9;0,3
Jogurt truskawkowy, 1,5% tłuszczu;61;3,7;1,5;8,2;2,4;0,3
Jogurt wiśniowy, 1,5% tłuszczu;61;3,7;1,5;8,2;1,7;0,1
Kefir, 2% tluszczu;51;3,4;2;4,7;0;0
Maślanka spożywcza, 0,5% tłuszczu;37;3,4;0,5;4,7;0;0
Napój mleczny jogurtowy;82;4;1,9;12, 1;7,2;0
Napój mleczny kakaowy;81;3,3;2,1;12, 1;7,2;0,1
Serwatka płynna ;25;0,8;0,1;5,1;0;0
Ser, brie pełnotłusty;329;19,8;28;0,2;0;0
Ser, camembert pełnotłusty;291;21,4;23;0,2;0;0
Ser, cheddar pelnotłusly;391;27,1;31,7;0,1;0;0
Ser, edamski tłusty;313;26,1;23,4;0,1;0;0
Ser, ementaler pełnotł usty;380;28,8;29,7;0,1;0;0
Ser, gouda tłusty;316;27,9;22,9;0,1;0;0
Ser. myśliwski pelnotłusty;346;25,5;27,4;0,1;0;0
Ser, parmezan;452;41,5;32;0,1;0;0
Ser, rokpol pelnotlusty;363;22,6;30,6;0,1;0;0
Ser, salami pelnotłusty;351;25,2;28,1;0,1;0;0
Ser, tylżycki pełnotłusty;353;26,1;27,9;0,1;0;0
Ser, tylżyck i tłusty;334;27,8;25;0,1;0;0
"Ser typu „Feta"" ";215;17;16;1;0;0
Ser twarogowy chudy;99;19,8;0,5;3,5;0;0
Ser twarogowy póltlusty;133;18,7;4,7;3,7;0;0
Ser twarogowy tłusty;176;17,7;10,1;3,5;0;0
Serek twarogowy, homogenizowany, pelnotlusty;161;12,7;11;3;0;0
Serek twarogowy, homogenizowany, truskawkowy;168;15,3;3,9;17,7;14,6;0,1
Serek twarogowy, homogenizowany, waniliowy;159;16,8;4,2;13,3;10;0
Serek twarogowy, ziarnisty;101;12,3;4,3;3,3;0;0
"Serek typu „Fromage"", naturalny";379;10,2;37,1;2,4;0;0
"Serek typu „Fromage"", z czosnkiem";368;10;35,2;4;0;0,2
Ser topiony, edamski;298;13,5;27;1,2;0;0
Deser twarogowy, termizowany, kakaowy;157;13,9;6,2;11,2;7,8;0,1
Deser twarogowy, termizowany, truskawkowy;170;11;5,8;18,3;15,6;0,1
Deser mleczny, ryżowo-jabłkowy;134;2,8;3;23,9;13,5;0,3
Deser mleczny, ryżowo-waniliowy;133;3;2,9;23,5;13,4;0,2
Lody mleczno-owocowe ;116;3,9;2,5;19,4;19,4;0,3
Lody śmietankowe;100;3,2;2,5;17,6;13;0
Jaja kurze całe;139;12,5;9,7;0,6;0;0
Białko jaja kurzego;49;10,9;0,2;0,7;0;0
Żółtko jaja kurzego;314;15,5;28,2;0,3;0;0
Baranina, łopatka;285;15,6;25;0;0;0
Baranina, udziec;232;18;18;0;0;0
Cielęcina, łopatka;106;19,9;2,8;0;0;0
Cielęcina, sznyclówka;105;20,5;2,4;0;0;0
Cielęcina, udziec;108;19,9;3,1;0;0;0
Wieprzowina, boczek bez kości;510;10,1;53;0;0;0
Wieprzowina, golonka ze skórą;294;18,6;24,7;0;0;0
Wieprzowina, karkówka;267;16,1;22,8;0;0;0
Wieprzowina, łopatka;257;16;21,7;0;0;0
Wieprzowina, podgardle;630;7,4;67,8;0;0;0
Wieprzowina, schab surowy z kością;174;21;10;0;0;0
Wieprzowina, szynka surowa;261;18;21,3;0;0;0
Wieprzowina, żeberka;321;15,2;29,3;0;0;0
Wołowina, pieczeń;117;20,9;3,6;0;0;0
Wołowina, polędwica;113;20,1;3,5;0;0;0
Wołowina, rostbef;152;21,5;7,3;0;0;0
Wołowina, rozbratel;157;16,7;10,1;0;0;0
Wołowina, szponder;217;19,3;15,7;0;0;0
Flaki;84;16;2,2;0;0;0
Nerki wieprzowe;102;16,8;3,8;0;0;0
Nogi wieprzowe;274;23;20,4;0;0;0
Ozór wieprzowy;165;16,5;11,1;0;0;0
Serca wieprzowe;111;16,9;4,8;0;0;0
Wątroba cielęca;124;19,2;3,3;4,1;0;0
Wątroba wieprzowa;130;22;3,4;2,6;0;0
Wątroba wołowa;125;20;3,1;4;0;0
Gęś , tuszka;339;14,1;31,8;0;0;0
Mięso z piersi indyka, bez skóry;84;19,2;0,7;0;0;0
Mięso z podudzia indyka, ze skórą;142;15,7;8,9;0;0;0
Mięso z udźca indyka, ze skórą;131;18,4;6,4;0;0;0
Skrzydło indyka;168;16,5;11,4;0;0;0
Kaczka, tuszka;308;13,5;28,6;0;0;0
Kura, tuszka;202;18,5;14,3;0;0;0
Kurczak, tuszka;158;18,6;9,3;0;0;0
Mięso z piersi kurczaka, bez skóry;99;21,5;1,3;0;0;0
Mięso z ud kurczaka, ze skórą ;158;16,8;10,2;0;0;0
Noga (udo) kurczaka;158;16,8;10,2;0;0;0
Skrzydło kurczaka;186;19,3;12,2;0;0;0
Wątróbka kurczaka;136;19,1;6,3;0,6;0;0
Żołądek kurczaka;114;18,2;4,2;0,6;0;0
Królik, tuszka;156;21;8;0;0;0
Baleron gotowany;244;15,1;20,2;0,9;0,7;0
Kabanosy;326;27,4;24,3;0;0;0
Kiełbasa krakowska, sucha;323;25,6;24,8;0;0;0
Kiełbasa mortadela;205;12;17,7;0;0;0
Kiełbasa myśliwska, sucha;291;27,8;20,1;0;0;0
Kiełbasa parówkowa;323;11;31,5;0;0;0
Kiełbasa podwawelska;247;17,3;19,6;0,9;0,1;0,1
Kiełbasa śląska;210;18,4;15,3;0;0;0
Kiełbasa toruńska;263;20,9;20,1;0;0;0
Kiełbasa zwyczajna;209;17,6;15,6;0;0;0
Kiełbasa żywiecka;315;20,3;26,3;0;0;0
Mielonka;171;12,8;11,7;3,7;1;0
Parówki popularne;342;9,5;34,3;0;0;0
Polędwica sopocka;165;19,9;9,1;0,9;0,7;0
Salami;568;21,6;53,7;1,4;0,6;0,1
Szynka wiejska ;253;17,1;20,3;0,9;0,9;0
Szynka wieprzowa, gotowana ;233;16,4;18,3;1;0,7;0
Szynka wolowa, gotowana ;107;20,9;2;1,1;0,8;0
Szynkówka wieprzowa ;191;13,6;14,7;1,4;1;0
Wędzonka wołowa, gotowana ;102;17,8;3,1;0,5;0,3;0
Kiszka kaszana jęczmienna ;197;8,5;12,6;13;0,1;1
Kiszka krwista ;404;14,2;35;9,2;0;0,2
Kiszka pasztetowa ;384;12,5;35,7;4,3;0;0,1
Pasztet pieczony;395;17;31,2;13,5;2,8;2,3
Salceson czarny ;336;12,6;32;0,5;0;0,1
Salceson włoski ;318;14,6;29,3;0;0;0
Baton szynkowy z indyka ;143;14,9;9,3;0,1;0;0
Kiełbasa mazurska z indyka ;129;14,8;7,7;0,1;0,1;0
Kiełbasa szynkowa z indyka ;88;17,2;2;0,2;0,1;0
Polędwica z indyka ;105;15,8;4,6;0,1;0;0
Szynka z indyka ;84;17,1;1,6;0,1;0,1;0
Baton z kurczaka ;144;16,7;8,6;0,1;0;0
Kabanosy z kurczaka ;247;22,8;17,4;0,1;0,1;0
Kaszanka z kurczaka ;207;9,8;11,7;16,4;0,3;1,4
Kiełbasa jałowcowa z kurczaka;236;19;17,9;0,1;0,1;0
Kiełbasa podlaska z kurczaka ;232;20,7;16,7;0,1;0;0
Kiełbasa podsuszana z kurczaka;162;21,7;8,4;0;0;0
Kiełbasa szynkowa z kurczaka;110;16,2;5;0;0;0
Kurczak faszerowany, pieczony;200;20,5;11,9;2,8;0;0,1
Parówki z kurczaka;259;10,8;22,4;4,2;0,1;0,1
Pasztet z kurczaka, pieczony;215;14,4;14,3;7,5;0,1;0,4
Pasztet podlaski z kurczaka;228;6,7;21,1;3,6;0,1;0,2
Polędwica z piersi kurczaka;93;20,4;1,2;0;0;0
Szynka delikatesowa z kurczaka;123;18,2;5,6;0;0;0
Szynka z piersi kurczaka;98;21,2;1,2;0,2;0,2;0
Szynka z udźca kurczaka;117;17,2;5,3;0;0;0
Dorsz, świeży;78;17,7;0,7;0;0;0
Dorsz, świeży, filety bez skóry;70;16,5;0,3;0;0;0
Flądra, świeża;83;16,5;1,8;0;0;0
Gładzica-płastuga, świeża;86;17,1;1,9;0;0;0
Halibut biały, świeży;98;20,1;1,9;0;0;0
Karp, świeży;110;18;4,2;0;0;0
Łosoś, świeży;201;19,9;13,6;0;0;0
Makrela, świeża;181;18,7;11,9;0;0;0
Mintaj, świeży;73;16,6;0,6;0;0;0
Morszczuk, świeży;89;17,2;2,2;0;0;0
Pstrąg strumieniowy, świeży;97;19,2;2,1;0;0;0
Pstrąg tęczowy, świeży;160;18,6;9,6;0;0;0
Sandacz, świeży;84;19,2;0,7;0;0;0
Sardynka, św eża;169;20,6;9,6;0;0;0
Szczupak. świeży;82;18,4;0,8;0;0;0
Śledź, świeży;161;16,3;10,7;0;0;0
Śledź, solony;217;19,8;15,4;0;0;0
Dorsz, wędzony;94;22,1;0,5;0;0;0
Łosoś, wędzony;162;21,5;8,4;0;0;0
Makrela, wędzona;221;20,7;15,5;0;0;0
"Śledź wędzony „Pikling""";215;21,8;14,3;0;0;0
Węgorz , wędzony ;326;17,9;28,6;0;0;0
Filety z makreli z warzywami;126;12;7,3;3,6;0,4;1
Filety z makreli z czerwoną fasolą;130;12,4;7,3;4,4;0,3;1,2
Paprykarz szczeciński;179;9,9;11,9;8,6;0,5;0,7
Sałatka z dorsza;189;9,8;13,9;7,2;3,7;1,3
Sałatka pikantna z makreli;183;10,2;13,2;6,9;2,8;1,3
Sardynka w oleju;221;24,1;13,9;0;0;0
Sardynka w pomidorach;162;17;9,9;1,4;0;0,1
Śledzie marynowane rolmopsy;105;8;7;3;1,4;0,6
Śledź marynowany;192;16,5;12,6;3,4;3;0
Śledź w oleju;301;16,4;26,5;0;0;0
Śledź w sosie pomidorowym;160;13,8;9,7;4,6;2,5;0,1
Śledź w śmietanie;97;5,5;6,2;5,3;2,5;0,6
Tuńczyk w oleju;190;27,1;9;0;0;0
Tuńczyk w wodzie;96;21;1,2;0;0;0
Olej kukurydziany;884;0;100;0;0;0
Olej rzepakowy o obniżonej zawartości kwasu erukowego;884;0;100;0;0;0
Olej rzepakowy uniwersalny;884;0;100;0;0;0
Olej rzepakowy tłoczony na zimno;884;0;100;0;0;0
Olej rzepakowo-sojowy;884;0;100;0;0;0
Olej slonecznikowy;884;0;100;0;0;0
Olej sojowy;884;0;100;0;0;0
Oliwa z oliwek;882;0;99,6;0,2;0;0
„Planta'', tłuszcz roślinny;884;0;100;0;0;0
Margaryna twarda, 80% tłuszczu;710;0,3;80;0,4;0;0
Margaryna miękka, 80% tłuszczu;710;0,3;80;0,4;0;0
Margaryna miękka, 70% tłuszczu;621;0,1;70;0,4;0;0
Margaryna miękka, 60% tłuszczu;533;0,2;60;0,3;0;0
Margaryna miękka, 50% tłuszczu;442;0;50;0;0;0
Margaryna miękka, 45% tłuszczu;398;0;45;0;0;0
Masło ekstra;735;0,7;82,5;0,7;0;0
Nabiałowy tluszcz do smarowania (dawniej masło śmietankowe);659;1,1;73,5;1,1;0;0
Słonina;797;2,4;89;0;0;0
Smalec;880;0;99,5;0;0;0
Tłuszcz mieszany roślinno-zwierzęcy, 60% tłuszczu;573;0,9;64;0,9;0;0
Mąka pszenna, typ 500;347;10,1;1,2;74;0,2;2,3
Mąka pszenna, typ 500, z witaminami;347;10,1;1,2;74;0,2;2,3
Mąka pszenna, typ 550;349;10,5;1,6;73;0,5;2,2
Mąka pszenna, typ 550, z witaminami;349;10,5;1,6;73;0,5;2,2
Kasza gryczana;347;12,6;3,1;69,3;0,7;5,9
Kasza jaglana;352;10,5;2,9;71,6;0,1;3,2
Kasza jęczmienna, perłowa;339;6,9;2,2;75;0,5;6,2
Kasza jęczmienna, pęczak;345;8,4;2;74,9;0,5;5,4
Kasza manna;353;8,7;1,3;76,7;0,1;2,5
Ryż biały;349;6,7;0,7;78,9;0,2;2,4
Ryż brązowy;339;7,1;1,9;76,8;0,8;8,7
Makaron bezjajeczny;369;11;1,6;77,6;0,5;2,4
Makaron dwujajeczny;378;12;2,6;76,8;0,3;2,6
Makaron czterojajeczny;396;13,2;3,4;78,3;0,3;2,6
Chleb żytni pełnoziarnisty;243;6,8;1,8;53,8;1,8;9,1
Chleb żytni jasny;251;3,8;1,3;57,4;1,8;4,1
Chleb żytni jasny mleczny;266;4,6;1,8;59,1;1,9;4,1
Chleb żytni razowy;229;5,9;1,7;51,2;1,6;8,4
Chleb żytni razowy na miodzie;240;5,6;1,6;54;4,9;7,8
Chleb żytni staropolski;233;4,5;1,4;52,1;1,5;4,2
Chleb żytni wileński;230;4,4;1,5;52,2;4,2;6,3
Pumpernikiel;258;5,9;2;58,2;5,4;9,4
Chleb baltonowski;257;7;1,5;54,8;1;3,3
Chleb chrupki;364;8,7;2,4;78,9;0,2;6
Chleb mazowiecki;260;7,6;1,4;55;0,8;3,2
Chleb mieszany, słonecznikowy;252;6,8;4,5;48,9;1,4;6,4
Chleb mieszany, z soją;238;7,1;2,7;49,2;1,6;6,6
Chleb praski;255;6,6;1,3;55,3;1,1;3,7
Chleb wiejski;251;6,9;1,3;54;1;3,5
Chleb zwykly;256;6,1;1,3;56,3;1,4;4,2
Bagietki francuskie;287;8,7;1,7;59,2;0,4;2
Bułki grahamki;265;9;1,7;56,1;2,7;6,7
Bułki pszenne zwykłe;277;8,1;1,5;57,7;1,2;1,8
Bułka tarta;358;9,7;1,9;77,6;0,2;6,1
Chleb graham;233;8,3;1,7;48,7;0,3;6,4
Chleb pszenny;262;8,5;1,4;54,3;0,5;2,7
Bułki wroclawskie;298;8;4,4;56,6;1,9;1,8
Kajzerki;300;8,4;3,6;58,6;1,2;1,9
Pieczywo tostowe;309;8,1;4,7;58,8;1,8;2,1
Pieczywo tostowe, grahamowe;279;7,5;4,2;53,8;0,2;3,3
Bułki i rogale maślane;331;8,5;5,9;61;7,6;1,8
Chałki zdobne;337;7,8;7;60,8;9,8;1,8
Pieczywo półfrancuskie z dżemem;414;8,3;9,9;73;20,4;2
Pieczywo półfrancuskie z serem;399;10,7;10;66,6;16;1,7
Chrupki kukurydziane;367;8,9;3;78,9;0;7,6
Musli z owocami suszonymi;340;8,4;3,4;72,2;7,9;8
Musli z rodzynkami i orzechami;394;11,5;12,7;62,9;1,9;9,7
Otręby pszenne;266;16;4,6;61,9;2,4;42,4
Płatki jęczmienne;374;9,8;3,6;79,4;1;9,6
Płatki kukurydziane;376;6,9;2,5;83,6;7;6,6
Płatki kukurydziane, z witaminami i żelazem;376;6,9;2,5;83,6;7;6,6
Płatki owsiane;379;11,9;7,2;69,3;0,9;6,9
Płatki pszenne;370;9;3;81;5,7;10,1
Płatki żytnie;365;6,4;3,2;82,6;9,5;11,6
Ryż preparowany ;371;6,3;1,6;84,1;4,4;5
Baklażan;26;1,1;0,1;6,3;0,1;2,5
Boćwina;26;2,1;0,5;5,5;0,2;4,4
Bób;77;7,1;0,4;14;0,9;5,8
Brokuły;31;3;0,4;5,2;0,4;2,5
Brukselka;47;4,7;0,5;8,7;0,8;5,4
Burak;42;1,8;0,1;9,5;6,5;2,2
Cebula;34;1,4;0,4;6,9;1,9;1,7
Chrzan;81;4,5;0,6;18,1;5,9;7,3
Cukinia;17;1,2;0,1;3,2;0,6;1
Cykoria;23;1,7;0,2;4,1;0,5;1
Czosnek;154;6,4;0,5;32,6;0,6;4,1
Dynia;33;1,3;0,3;7,7;2,1;2,8
Fasola biała, nasiona suche;318;21,4;1,6;61,6;2,7;15,7
Fasola szparagowa;37;2,4;0,2;7,6;0,5;2,6
Groch, nasiona suche;321;23,8;1,4;60,2;0,8;15
Groszek zielony;87;6,7;0,4;17;2,1;6
Jarmuż;36;3,3;0,7;6,1;1;3,8
Kalafior;27;2,4;0,2;5;0,2;2,4
Kalarepa;33;2,2;0,3;6,5;0,8;2,2
Kapusta biała;33;1,7;0,2;7,4;0,4;2,5
Kapusta czerwona;31;1,9;0,2;6,7;0,5;2,5
Kapusta pekińska;16;1,2;0,2;3,2;0,1;1,9
Kapusta włoska;43;3,3;0,4;7,8;0,8;2,6
Koper ogrodowy;33;2,8;0,4;6,1;0,1;3,3
Kukurydza, kolby ;116;3,7;1,5;23,4;2,2;3,3
Marchew;33;1;0,2;8,7;2;3,6
Ogórek;14;0,7;0,1;2,9;0,1;0,5
Papryka czerwona;32;1,3;0,5;6,6;0,1;2
Papryka zielona;22;1,1;0,3;4,6;0,1;2
Pietruszka, korzeń;49;2,6;0,5;10,5;4,8;4,2
Pietruszka, liście;49;4,4;0,4;9;0,1;4,2
Pomidor;20;0,9;0,2;4,1;0,1;1,2
Por;29;2,2;0,3;5,7;0,8;2,7
Rabarbar;15;0,5;0,1;4,6;0,3;3,2
Rzepa;33;1,1;0,3;8,2;0,5;3,5
Rzodkiewka;18;1;0,2;4,4;0,1;2,5
Sałata;16;1,4;0,2;2,9;0,1;1,4
Seler korzeniowy;30;1,6;0,3;7,7;1,7;4,9
Seler naciowy;17;1;0,2;3,6;0,3;1,8
Soczewica czerwona, nasiona suche;344;25,4;3;57,5;1,1;8,9
Soczewica, kiełki;125;9;0,6;22,1;0,8;3
Soja, nasiona suche;412;34,3;19,6;32,7;4,8;15,7
Soja, kiełki;146;13,1;6,7;9,6;0,4;2,6
Szczaw;26;1,1;0,8;4,9;0,5;2,6
Szczypiorek;35;4,1;0,8;4,2;0,2;2,5
Szparagi;21;1,9;0,2;3,7;0,1;1,5
Szpinak;22;2,6;0,4;3;0,2;2,1
Ziemniaki, wczesne;72;1,8;0,1;16,3;0,7;1,3
Ziemniaki, późne;88;1,9;0,1;20,5;0,3;1,6
Ziemniaki, średnio;80;1,9;0,1;18,3;0,5;1,5
Brokuły, mrożone;29;2,7;0,4;4,7;0,4;2,3
Brukselka, mrożona;46;4,5;0,5;8,4;0,8;5,2
Buraki puree, mrożone;38;1,6;0,1;8,6;5,9;2
Fasolka szparagowa, mrożona;33;2,2;0,2;6,8;0,5;2,3
Groszek zielony, mrożony;83;6,4;0,4;16,3;2;5,8
Kalafior, mrożony;24;2,2;0,2;4,5;0,2;2,2
Marchew, mrożona;30;0,9;0,2;7,8;1,8;3,2
Szpinak, mrożony;20;2,3;0,4;2,7;0,2;1,9
Barszcz ukraiński , mrożony;32;1,6;0,2;7,1;2,9;2,3
Bukiet z jarzyn wiosennych, mrożony;37;2,8;0,3;7,5;0,8;3,6
Marchew z groszkiem, mrożona;47;2,6;0,3;10,4;1,9;4
Włoszczyzna krojona w paski, mrożona;32;1,4;0,3;7,6;2,3;3,5
Zupa jesienna, mrożona;32;1,6;0,2;7,2;2,7;2,5
Zupa kalafiorowa, mrożona;27;2;0,2;5,5;0,8;2,6
Zupa włoska, mrożona;32;1,8;0,3;6,9;1,2;2,8
Zupa zimowa, mrożona;32;2,1;0,3;6,9;1;3,4
Fasola cięta, konserwowa, bez zalewy;21;1,5;0,2;4,5;0,2;2,4
Fasolka flageolet, konserwowa;74;6,3;0,2;15;0,4;6,7
Groszek zielony, konserwowy, bez zalewy;74;4,9;0,2;15,8;3,6;5,7
Kapusta kwaszona;16;1,1;0,2;3,4;0,1;2,1
Koncentrat pomidorowy, 30%;98;5,6;1,5;16,7;0,8;2,8
Kukurydza. konserwowa;110;2,9;1,2;23,6;2,2;3,9
Ogórek kwaszony;12;1;0,1;1,9;0;0,5
Papryka czerwona, konserwowa ;33;0,8;1,5;5;0,1;1,8
Skrobia ziemniaczana;343;0,6;1;83,9;0,2;0,4
Sos keczup;99;1,8;1;22,2;12,7;3,2
Pieczarka uprawna, świeża;21;2,7;0,4;2,6;0,1;2
Agrest;47;0,8;0,2;11,8;0,7;3
Ananas;56;0,4;0,2;13,6;7,8;1,2
Arbuz;37;0,6;0,1;8,4;2,4;0,3
Awokado;166;2;15,3;7,4;0,1;3,3
Banan;99;1;0,3;23,5;11,1;1,7
Brzoskwinia;50;1;0,2;11,9;5,2;1,9
Cytryna;40;0,8;0,3;9,5;0,3;2
